alpha [degree],V [m s^-1],Lift [N],Drag [N]
0,5,1.11E-05,0.000742133
1,5,0.000473057,0.00071579
2,5,0.000912113,0.000729108
3,5,0.00148296,0.00075626
4,5,0.00234094,0.000861602
5,5,0.00279894,0.00093624
6,5,0.0034832,0.00104642
7,5,0.00435869,0.00130066
8,5,0.0049765,0.00139543
9,5,0.00597339,0.00161118
10,5,0.00679128,0.00186505
11,5,0.00724331,0.00200933
12,5,0.00856067,0.00242362
13,5,0.00988381,0.00293007
14,5,0.0111793,0.0034095
15,5,0.0130257,0.00409925
16,5,0.0135436,0.00451117
17,5,0.0152567,0.00527746
18,5,0.0166811,0.00605028
19,5,0.0170554,0.00642647
20,5,0.0181486,0.00718266
21,5,0.0206146,0.00848903
22,5,0.0201936,0.00877173
23,5,0.0220882,0.00998541
24,5,0.022674,0.0106645
25,5,0.0237377,0.0116149
26,5,0.0259981,0.0131924
27,5,0.0266819,0.0140517
28,5,0.026885,0.0148597
29,5,0.0306903,0.0176241
30,5,0.0286347,0.0170817
31,5,0.0322133,0.0197492
32,5,0.0324636,0.0208092
33,5,0.0353136,0.0232719
34,5,0.033164,0.0228943
35,5,0.0355592,0.0252402
36,5,0.0357905,0.0266006
37,5,0.0339058,0.0260838
38,5,0.0355868,0.0280679
39,5,0.0370901,0.0303885
40,5,0.0379655,0.0323542
41,5,0.0388159,0.0342509
42,5,0.0373293,0.0339228
43,5,0.0377322,0.0357259
44,5,0.04141,0.0404707
45,5,0.0394274,0.0399144
46,5,0.0398851,0.0417383
47,5,0.0410727,0.044579
48,5,0.0419528,0.0467431
49,5,0.0412015,0.0479422
50,5,0.039027,0.0470553
51,5,0.0386844,0.0481337
52,5,0.0390861,0.0501082
53,5,0.0400654,0.053681
54,5,0.0401312,0.0557261
55,5,0.0409776,0.0585916
56,5,0.0401643,0.0599679
57,5,0.0373431,0.057726
58,5,0.037525,0.0605492
59,5,0.0365535,0.0610497
60,5,0.0377322,0.0655298
61,5,0.0358568,0.0653485
62,5,0.0359797,0.0678617
63,5,0.0344248,0.0679545
64,5,0.0343436,0.0705224
65,5,0.0307267,0.0663493
66,5,0.0315605,0.0713092
67,5,0.0293278,0.0697602
68,5,0.0309422,0.0768495
69,5,0.0293814,0.0768269
70,5,0.027737,0.0768571
71,5,0.0268692,0.0784666
72,5,0.0263501,0.0819298
73,5,0.0250896,0.0825893
74,5,0.0233439,0.0818269
75,5,0.0217608,0.0815619
76,5,0.0211411,0.0849169
77,5,0.0197168,0.0857513
78,5,0.0179799,0.084865
79,5,0.0163271,0.0844396
80,5,0.0151845,0.0867303
81,5,0.0136422,0.0861209
82,5,0.0118405,0.0852375
83,5,0.010891,0.0891545
84,5,0.00916147,0.0877717
85,5,0.00773886,0.0899947
86,5,0.00619712,0.0900489
87,5,0.00466999,0.0898337
88,5,0.00298161,0.0878336
89,5,0.00149877,0.0881233
90,5,-1.21E-05,0.0864155